search_method;query_type;document_type;nDCG@10;P@5;MRR;avg_duration
cross_encoder;single_free_synonym;structured_fulltext;0,6038;0,5886;0,749;2,583057142857143
cross_encoder;single_keyword;fulltext;0,8286;0,8114;0,9129;1,104
cross_encoder;single_keyword;structured;0,79;0,8114;0,8479;2,4532857142857143
cross_encoder;single_keyword;structured_fulltext;0,5662;0,5314;0,7195;2,6065142857142853
cross_encoder;single_keyword_synonym;fulltext;0,6928;0,6457;0,7554;1,1
cross_encoder;single_keyword_synonym;structured;0,6205;0,56;0,733;2,4489714285714284
cross_encoder;single_keyword_synonym;structured_fulltext;0,4168;0,3486;0,4968;2,5722571428571426
late_interaction;combination_free;fulltext;0,9096;0,9592;1,0;0,9033265306122449
late_interaction;combination_free;structured;0,681;0,702;0,8746;1,0508775510204083
late_interaction;combination_free;structured_fulltext;0,6524;0,6735;0,8397;1,1781224489795918
late_interaction;combination_free_synonym;fulltext;0,8396;0,898;0,9796;0,9499591836734694
late_interaction;combination_free_synonym;structured;0,6564;0,6694;0,8474;1,0852040816326531
late_interaction;combination_free_synonym;structured_fulltext;0,6314;0,6367;0,8247;1,1423061224489797
late_interaction;combination_keyword;fulltext;0,974;1,0;1,0;0,9025714285714287
late_interaction;combination_keyword;structured;0,7218;0,7429;0,9139;1,066673469387755
late_interaction;combination_keyword;structured_fulltext;0,7306;0,7878;0,8959;1,1683673469387754
late_interaction;combination_keyword_synonym;fulltext;0,9412;0,9837;0,9898;0,9257346938775511
late_interaction;combination_keyword_synonym;structured;0,6828;0,698;0,8655;1,0465306122448979
late_interaction;combination_keyword_synonym;structured_fulltext;0,6882;0,6898;0,8787;1,2142448979591838
late_interaction;single_free;fulltext;0,8437;0,9143;1,0;0,8970285714285714
late_interaction;single_free;structured;0,5982;0,5486;0,7663;1,0675142857142859
late_interaction;single_free;structured_fulltext;0,583;0,5086;0,7695;1,1781428571428572
late_interaction;single_free_synonym;fulltext;0,7197;0,7714;0,9167;0,8682857142857143
late_interaction;single_free_synonym;structured;0,5385;0,4743;0,7265;1,0506
late_interaction;single_free_synonym;structured_fulltext;0,5146;0,4343;0,651;1,159257142857143
late_interaction;single_keyword;fulltext;0,9401;0,9943;1,0;0,9198000000000001
late_interaction;single_keyword;structured;0,6928;0,6743;0,8601;1,1052
late_interaction;single_keyword;structured_fulltext;0,7108;0,7257;0,8923;1,1546285714285713
late_interaction;single_keyword_synonym;fulltext;0,8333;0,8743;0,9071;0,8992285714285715
late_interaction;single_keyword_synonym;structured;0,6047;0,5657;0,7636;1,053
late_interaction;single_keyword_synonym;structured_fulltext;0,5982;0,5714;0,7502;1,1954285714285715
neural_sparse;combination_free;fulltext;0,668;0,6857;0,8228;0,21018367346938777
neural_sparse;combination_free;structured;0,6479;0,6816;0,8012;0,19681632653061223
neural_sparse;combination_free;structured_fulltext;0,7355;0,7959;0,9048;0,1979795918367347
neural_sparse;combination_free_synonym;fulltext;0,6187;0,5837;0,8034;0,1946938775510204
neural_sparse;combination_free_synonym;structured;0,6129;0,6204;0,7522;0,1953265306122449
neural_sparse;combination_free_synonym;structured_fulltext;0,6653;0,7061;0,8401;0,19757142857142856
neural_sparse;combination_keyword;fulltext;0,8309;0,8694;0,9354;0,19210204081632654
neural_sparse;combination_keyword;structured;0,8055;0,8694;0,9422;0,20640816326530612
neural_sparse;combination_keyword;structured_fulltext;0,8378;0,8939;0,9558;0,19810204081632654
neural_sparse;combination_keyword_synonym;fulltext;0,8188;0,8653;0,9235;0,20973469387755103
neural_sparse;combination_keyword_synonym;structured;0,7777;0,8163;0,902;0,19589795918367348
neural_sparse;combination_keyword_synonym;structured_fulltext;0,8246;0,8694;0,9354;0,19989795918367348
neural_sparse;single_free;fulltext;0,5431;0,5086;0,672;0,19437142857142856
neural_sparse;single_free;structured;0,554;0,4686;0,6713;0,19662857142857143
neural_sparse;single_free;structured_fulltext;0,6286;0,6514;0,7702;0,1968857142857143
neural_sparse;single_free_synonym;fulltext;0,4665;0,3657;0,6034;0,19565714285714286
neural_sparse;single_free_synonym;structured;0,4705;0,3714;0,5413;0,19814285714285715
neural_sparse;single_free_synonym;structured_fulltext;0,525;0,4743;0,6123;0,19765714285714286
neural_sparse;single_keyword;fulltext;0,8164;0,84;0,931;0,2251142857142857
neural_sparse;single_keyword;structured;0,7858;0,7943;0,9095;0,19720000000000001
neural_sparse;single_keyword;structured_fulltext;0,8418;0,8686;0,9571;0,19879999999999998
neural_sparse;single_keyword_synonym;fulltext;0,708;0,68;0,8048;0,19937142857142856
neural_sparse;single_keyword_synonym;structured;0,7079;0,7143;0,8212;0,19697142857142858
neural_sparse;single_keyword_synonym;structured_fulltext;0,723;0,72;0,8605;0,19425714285714285
tf-idf;combination_free;fulltext;0,9017;0,9469;1,0;0,001
tf-idf;combination_free;structured;0,898;0,9429;1,0;0,0010204081632653062
